0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
8.885e-02 1.077e+02 2.000e+02 2.000e+02 3.267e+01 6.924e+01
2.255e-01 9.446e+01 2.000e+02 2.000e+02 3.372e+01 7.310e+01
3.332e-01 1.019e+02 2.000e+02 6.584e+01 3.282e+01 7.287e+01
4.410e-01 1.035e+02 2.000e+02 4.864e+01 3.367e+01 8.739e+01
5.448e-01 3.855e+01 2.000e+02 6.511e+01 3.224e+01 6.986e+01
6.682e-01 1.045e+02 2.000e+02 2.000e+02 3.211e+01 6.746e+01
7.916e-01 1.074e+02 2.000e+02 2.000e+02 3.687e+01 6.364e+01
9.151e-01 1.035e+02 2.000e+02 4.307e+01 2.000e+02 6.601e+01
1.050e+00 1.067e+02 2.000e+02 6.583e+01 2.000e+02 6.789e+01
1.157e+00 1.063e+02 2.000e+02 6.319e+01 3.602e+01 6.826e+01
1.258e+00 6.153e+00 2.000e+02 6.481e+01 3.855e+01 6.490e+01
1.502e+00 3.603e+00 2.000e+02 6.327e+01 2.000e+02 6.485e+01
